"","feature","frequency"
"351","to_all",137
"352","my_life",137
"353","did_you",137
"354","the_rest",137
"355","is_going",137
"356","feel_like",136
"357","we_will",135
"358","me_a",135
"359","on_your",134
"360","you_think",134
"361","on_this",134
"362","well_as",134
"363","she_is",134
"364","was_not",133
"365","of_us",133
"366","does_not",133
"367","first_time",133
"368","back_in",132
"369","if_they",132
"370","too_much",132
"371","when_we",131
"372","those_who",131
"373","before_the",131
"374","i've_been",130
"375","in_that",130
"376","ready_to",130
"377","looking_forward",130
"378","if_it",130
"379","instead_of",130
"380","get_the",130
"381","at_all",130
"382","how_much",129
"383","on_his",129
"384","it_out",129
"385","you_don't",128
"386","who_is",128
"387","out_and",128
"388","went_to",128
"389","said_it",128
"390","couple_of",127
"391","you_and",127
"392","with_me",127
"393","was_in",127
"394","so_far",127
"395","than_the",127
"396","i_hate",126
"397","lots_of",126
"398","with_you",126
"399","under_the",126
"400","we_had",126
"401","against_the",126
"402","last_week",126
"403","is_no",126
"404","to_hear",125
"405","when_they",125
"406","number_of",125
"407","not_be",124
"408","to_your",124
"409","when_it",124
"410","you_get",123
"411","the_people",123
"412","might_be",123
"413","and_all",123
"414","that_are",123
"415","enough_to",123
"416","what_a",122
"417","with_an",122
"418","hard_to",122
"419","the_whole",122
"420","or_the",121
"421","and_my",121
"422","time_for",121
"423","of_her",121
"424","to_his",120
"425","to_win",120
"426","it's_not",120
"427","think_i",120
"428","the_u.s",120
"429","and_is",119
"430","but_he",119
"431","the_country",119
"432","what_the",119
"433","it_a",118
"434","check_out",118
"435","the_fact",118
"436","a_week",117
"437","is_my",117
"438","up_on",117
"439","is_one",117
"440","down_the",117
"441","love_the",117
"442","up_for",116
"443","it_all",116
"444","do_i",116
"445","wait_to",116
"446","out_there",116
"447","i_guess",116
"448","make_sure",116
"449","or_a",116
"450","don't_have",115
"451","it_the",115
"452","i_wanted",115
"453","will_have",115
"454","a_day",114
"455","as_it",114
"456","and_not",114
"457","of_people",114
"458","that_will",113
"459","for_more",113
"460","if_we",113
"461","this_morning",112
"462","a_small",112
"463","you_guys",111
"464","of_these",111
"465","to_this",111
"466","the_two",111
"467","who_are",111
"468","than_a",111
"469","away_from",111
"470","come_to",111
"471","said_i",111
"472","for_an",110
"473","chance_to",110
"474","you_all",110
"475","this_was",110
"476","with_his",110
"477","you_should",109
"478","having_a",109
"479","as_much",109
"480","decided_to",109
"481","thanks_to",108
"482","the_show",108
"483","is_on",108
"484","as_an",108
"485","i_wish",108
"486","make_the",108
"487","to_put",108
"488","say_that",108
"489","time_and",107
"490","of_what",107
"491","we_need",106
"492","the_big",106
"493","but_not",106
"494","love_to",106
"495","a_chance",106
"496","up_a",106
"497","along_with",106
"498","on_to",105
"499","is_just",105
"500","like_it",105
"501","for_that",105
"502","who_has",105
"503","like_that",104
"504","that_she",104
"505","there_were",104
"506","to_watch",104
"507","are_in",104
"508","must_be",104
"509","you_i",104
"510","in_her",104
"511","will_not",104
"512","rest_of",104
"513","of_an",104
"514","have_you",104
"515","this_time",103
"516","the_final",103
"517","about_to",103
"518","and_so",103
"519","i_still",103
"520","is_what",103
"521","this_weekend",103
"522","had_the",103
"523","can_do",103
"524","based_on",103
"525","him_to",103
"526","that_a",103
"527","where_the",102
"528","could_have",102
"529","not_only",102
"530","i_should",102
"531","has_to",102
"532","the_team",102
"533","for_his",102
"534","if_he",102
"535","have_no",102
"536","follow_me",101
"537","need_a",101
"538","it_on",101
"539","my_own",101
"540","and_was",101
"541","working_on",100
"542","all_i",100
"543","across_the",100
"544","talk_about",100
"545","to_our",100
"546","you_could",100
"547","know_how",100
"548","as_he",100
"549","about_a",100
"550","was_just",99
"551","you_were",99
"552","many_of",99
"553","even_though",99
"554","st_louis",99
"555","but_we",98
"556","their_own",98
"557","today_i",98
"558","as_they",98
"559","at_home",98
"560","happy_birthday",98
"561","day_i",98
"562","then_i",98
"563","fact_that",98
"564","and_i'm",98
"565","said_in",98
"566","get_it",98
"567","said_that",98
"568","hope_you",97
"569","to_try",97
"570","but_you",97
"571","you_a",97
"572","better_than",97
"573","for_it",97
"574","he_would",97
"575","my_favorite",96
"576","and_more",96
"577","and_have",96
"578","what_we",96
"579","for_their",96
"580","that_has",96
"581","the_book",96
"582","good_morning",96
"583","needs_to",96
"584","percent_of",96
"585","as_you",95
"586","love_it",95
"587","as_we",95
"588","looks_like",95
"589","was_so",95
"590","i_miss",95
"591","can_you",95
"592","i_see",95
"593","who_was",95
"594","i'll_be",94
"595","and_if",94
"596","to_her",94
"597","the_season",94
"598","not_sure",94
"599","should_have",94
"600","know_the",93
"601","every_day",93
"602","in_new",93
"603","a_while",93
"604","know_i",93
"605","and_what",93
"606","made_it",93
"607","of_its",93
"608","less_than",93
"609","and_its",93
"610","because_the",93
"611","the_story",92
"612","and_get",92
"613","on_it",92
"614","in_which",92
"615","a_man",92
"616","much_of",92
"617","got_to",92
"618","new_jersey",92
"619","it_up",91
"620","even_if",91
"621","each_other",91
"622","the_follow",91
"623","wants_to",91
"624","in_fact",91
"625","full_of",91
"626","you_just",90
"627","can_get",90
"628","are_so",90
"629","and_now",90
"630","at_this",89
"631","with_this",89
"632","me_the",89
"633","ready_for",89
"634","live_in",89
"635","and_some",89
"636","is_now",89
"637","until_the",89
"638","tried_to",89
"639","to_tell",88
"640","in_one",88
"641","can_i",88
"642","so_we",88
"643","but_they",88
"644","it_for",88
"645","only_one",88
"646","i_saw",88
"647","if_you're",88
"648","since_the",88
"649","for_years",88
"650","you_like",87
"651","to_meet",87
"652","lol_i",87
"653","his_first",87
"654","to_an",87
"655","may_have",87
"656","the_national",87
"657","we_all",87
"658","on_their",87
"659","the_case",87
"660","listening_to",86
"661","for_some",86
"662","they_can",86
"663","tell_me",86
"664","side_of",86
"665","with_their",86
"666","so_that",86
"667","being_a",86
"668","for_us",86
"669","the_back",86
"670","out_for",86
"671","not_have",86
"672","and_for",86
"673","from_my",85
"674","my_mom",85
"675","my_first",85
"676","people_are",85
"677","that_this",85
"678","with_your",85
"679","with_her",85
"680","where_you",85
"681","day_of",85
"682","you_in",84
"683","we_do",84
"684","what_do",84
"685","a_way",84
"686","who_have",84
"687","down_to",84
"688","they_will",84
"689","to_their",84
"690","i_found",84
"691","think_about",84
"692","him_and",84
"693","the_night",84
"694","i'm_going",84
"695","is_also",84
"696","and_how",83
"697","how_i",83
"698","all_day",83
"699","time_in",83
"700","tell_you",83
"701","i_said",83
"702","take_the",83
"703","out_on",83
"704","was_going",83
"705","do_the",83
"706","out_in",83
"707","continue_to",83
"708","wish_i",82
"709","to_that",82
"710","supposed_to",82
"711","and_will",82
"712","you_so",82
"713","just_like",82
"714","to_pay",82
"715","the_old",82
"716","in_it",82
"717","to_look",82
"718","the_more",82
"719","one_day",81
"720","next_week",81
"721","don't_think",81
"722","i_knew",81
"723","for_our",81
"724","said_they",81
"725","i_cant",81
"726","long_time",81
"727","think_of",81
"728","its_a",81
"729","the_united",81
"730","off_to",80
"731","the_man",80
"732","the_word",80
"733","on_that",80
"734","me_know",80
"735","in_its",80
"736","this_one",80
"737","rather_than",80
"738","i_went",80
"739","would_like",80
"740","to_read",80
"741","talking_about",80
"742","that_in",80
"743","and_their",80
"744","and_has",80
"745","when_she",80
"746","a_huge",80
"747","to_stay",79
"748","the_kids",79
"749","now_that",79
"750","along_the",79
"751","bit_of",79
"752","its_not",79
"753","top_of",79
"754","for_him",79
"755","just_got",79
"756","not_just",79
"757","to_share",78
"758","and_she",78
"759","all_that",78
"760","find_a",78
"761","what_it",78
"762","to_think",78
"763","here_in",78
"764","day_and",78
"765","it_but",78
"766","the_future",78
"767","to_buy",78
"768","and_this",78
"769","type_of",78
"770","with_that",78
"771","like_i",78
"772","is_still",78
"773","and_one",77
"774","and_it's",77
"775","what_they",77
"776","so_it",77
"777","do_that",77
"778","got_the",77
"779","to_stop",77
"780","the_point",77
"781","my_friend",77
"782","seems_to",77
"783","to_follow",77
"784","told_me",77
"785","you_the",77
"786","but_a",76
"787","on_twitter",76
"788","be_on",76
"789","in_order",76
"790","who_had",76
"791","to_bring",76
"792","because_it",76
"793","a_friend",76
"794","came_to",76
"795","but_that",76
"796","seem_to",76
"797","and_there",76
"798","about_how",75
"799","i'm_a",75
"800","me_that",75
"801","no_matter",75
"802","where_i",75
"803","front_of",75
"804","to_write",75
"805","president_of",75
"806","she_had",75
"807","i_made",75
"808","how_the",75
"809","think_it",75
"810","i_used",75
"811","they_had",75
"812","a_nice",75
"813","like_this",75
"814","for_those",74
"815","in_all",74
"816","have_an",74
"817","close_to",74
"818","all_over",74
"819","see_what",74
"820","a_time",74
"821","in_some",74
"822","the_ball",74
"823","the_middle",74
"824","how_many",74
"825","the_great",73
"826","a_second",73
"827","no_longer",73
"828","am_i",73
"829","think_that",73
"830","not_in",73
"831","about_that",73
"832","i_also",73
"833","my_new",73
"834","and_her",73
"835","talk_to",73
"836","i_believe",73
"837","due_to",73
"838","how_do",73
"839","it_with",73
"840","los_angeles",73
"841","the_public",73
"842","amount_of",73
"843","next_to",73
"844","united_states",73
"845","to_eat",72
"846","san_diego",72
"847","people_in",72
"848","and_even",72
"849","to_it",72
"850","sort_of",72
"851","to_talk",72
"852","and_be",72
"853","but_i'm",72
"854","the_bottom",72
"855","i_never",72
"856","any_of",72
"857","the_morning",72
"858","two_years",72
"859","but_if",72
"860","for_her",72
"861","he_can",72
"862","im_not",71
"863","she_has",71
"864","and_your",71
"865","all_my",71
"866","his_own",71
"867","you_would",71
"868","do_with",71
"869","a_better",71
"870","made_a",71
"871","listen_to",71
"872","you_can't",71
"873","at_work",71
"874","because_he",71
"875","a_whole",71
"876","to_learn",71
"877","where_he",71
"878","on_her",71
"879","what_are",70
"880","i_didnt",70
"881","know_if",70
"882","of_time",70
"883","be_there",70
"884","makes_me",70
"885","my_friends",70
"886","that_there",70
"887","was_on",70
"888","do_a",70
"889","even_more",70
"890","with_us",70
"891","the_idea",70
"892","are_going",70
"893","the_door",70
"894","a_bad",70
"895","much_as",70
"896","this_season",70
"897","with_it",70
"898","expected_to",70
"899","here_is",70
"900","i'm_so",69
"901","to_show",69
"902","things_that",69
"903","don't_want",69
"904","to_live",69
"905","excited_to",69
"906","well_i",69
"907","because_they",69
"908","them_in",69
"909","members_of",69
"910","to_him",69
"911","of_me",69
"912","on_saturday",69
"913","and_an",69
"914","easy_to",69
"915","to_move",69
"916","between_the",69
"917","am_not",68
"918","back_and",68
"919","the_sun",68
"920","thinking_about",68
"921","interested_in",68
"922","at_p.m",68
"923","the_main",68
"924","down_and",68
"925","as_if",68
"926","in_front",68
